"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","カード名: 名古屋大学MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～7.0%
                    特徴: 名古屋大学での優待サービスを受けられる、プライオリティ・パスが無料で利用できる、海外旅行・国内旅行に関連する保険が自動付帯","","22,000円","Platinum","名古屋大学MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","名古屋大学での優待とプラチナならでは特典が受けられるカードです。","0.5%～7.0%","","2025-10-01T14:04:50.420576"
"","カード名: MileagePlusセゾンプラチナカード
                    年会費: 55,000円
                    ポイント還元率: 1.5%
                    特徴: ユナイテッド航空のマイルが貯まる、ユナイテッド航空で様々なサービスが利用可能、プラチナ限定サービスが付帯","","55,000円","Platinum","MileagePlusセゾンプラチナカード","","還元率1.5％、サンクスマイルが毎年5,000マイル付与されるプラチナカードです。","1.5%","","2025-10-01T14:04:50.421115"
"","カード名: ANA JCB CARD Precious
                    年会費: 39,600円
                    ポイント還元率: 0.5%～2.0%
                    特徴: ANAマイルが貯まる、プラチナカードのサービスが付帯、最高1億円の国内・海外旅行傷害保険が付帯","","39,600円","Platinum","ANA JCB CARD Precious","","マイル還元率最大1.2%、ゴールドカードよりワンランク上の招待制カードです。","0.5%～2.0%","","2025-10-01T14:04:50.421616"
"","カード名: SBIプラチナカード
                    年会費: 22,000円
                    ポイント還元率: 0.66%～1.0%
                    特徴:","","22,000円","Platinum","SBIプラチナカード","","2018年1月31日に新規のお申し込み受付を終了したカードです。","0.66%～1.0%","","2025-10-01T14:04:50.422145"
"","カード名: SKYPASS MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 1.0%
                    特徴: フライトやショッピングでマイルが貯まる、プラチナならではの優待サービス、補償サービスが充実","","22,000円","Platinum","SKYPASS MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","スカイパスが貯まる大韓航空提携のプラチナカードです。","1.0%","","2025-10-01T14:04:50.422739"
"","カード名: Mastercard(R) Black Card
                    年会費: 110,000円（初年度55,000円）
                    ポイント還元率: 1.25%～7.15%
                    特徴: キャッシュバック還元率1.25％、マットブラック金属製カード、時間や場所を問わず利用可能なコンシェルジュサービス","","110,000円（初年度55,000円）","Platinum","Mastercard(R) Black Card","","ポイント還元率1.25％、Mastercard最上位ステータスのカードです。","1.25%～7.15%","","2025-10-01T14:04:50.423234"
"","カード名: ダイナースクラブ ビジネスプレミアムカード
                    年会費: 143,000円
                    ポイント還元率: 0.5%～1.0%
                    特徴: ビジネスに特化したサービスが充実、最高1億円の海外・国内旅行傷害保険が付帯、有効期限がないダイナースクラブリワードポイントが貯まる","","143,000円","Platinum","ダイナースクラブ ビジネスプレミアムカード","","事業を強力にサポートする、招待制のダイナース法人向けカードです。","0.5%～1.0%","","2025-10-01T14:04:50.423758"
"","カード名: ANAアメリカン・エキスプレス(R)・スーパーフライヤーズ・プレミアム・カード
                    年会費: 165,000円
                    ポイント還元率: 1.0%～2.5%
                    特徴: スーパーフライヤーズ会員の豊富な特典付き、最高1億円の旅行傷害保険が付帯、24時間対応してくれる旅行のサポート体制","","165,000円","Platinum","ANAアメリカン・エキスプレス(R)・スーパーフライヤーズ・プレミアム・カード","","充実の補償とサービス付き、特別感のある旅を体験できるプレミアムカードです。","1.0%～2.5%","","2025-10-01T14:04:54.934232"
"","カード名: Mastercard(R) Gold Card
                    年会費: 220,000円（初年度110,000円）
                    ポイント還元率: 1.5%～9.9%
                    特徴: 還元率1.5％のキャッシュバック、24金コーティングの重厚感と気品あるカード、チャットで繋がる一流のコンシェルジュサービス","","220,000円（初年度110,000円）","Platinum","Mastercard(R) Gold Card","","極上のVIPサービスが体験できる、Mastercard(R)最上位カードです。","1.5%～9.9%","","2025-10-01T14:04:54.935800"
"","カード名: 法人決済用ラグジュアリーカードMastercard(R) Gold Card
                    年会費: 220,000円
                    ポイント還元率: 1.5%～9.9%
                    特徴: 告知費用なしで自社商品・サービスを紹介できるLCオーナーズコミュニティ、高還元率のポイントプログラム、最上位カードとして相応しい24金コーティングのカード","","220,000円","Platinum","法人決済用ラグジュアリーカードMastercard(R) Gold Card","","プレミアムサービスが付帯した金属製のステータス法人カードです。","1.5%～9.9%","","2025-10-01T14:04:54.936877"
"","カード名: freeeセゾンプラチナビジネスカード
                    年会費: 33,000円（初年度無料）
                    ポイント還元率: 0.5%～1.0%
                    特徴: 経費削減で効率的なビジネスを、「プライオリティ・パス」が年会費無料、最高1億円の旅行傷害保険が付帯","","33,000円（初年度無料）","Platinum","freeeセゾンプラチナビジネスカード","","個人事業主の方でも申込みでき、付帯サービスも充実しているカードです。","0.5%～1.0%","","2025-10-01T14:04:54.937875"
"","カード名: JAL CLUB EST プラチナ
                    年会費: 34,100円
                    ポイント還元率: 0.5%～3.0%
                    特徴: 遅延保険も付帯、最高1億円補償の国内外旅行傷害保険、国内外で利用可能なラウンジサービス、JAL CLUB EST会員限定のボーナスマイルがもらえる","","34,100円","Platinum","JAL CLUB EST プラチナ","","JAL CLUB ESTのサービスにプラチナ会員向け特典が付帯したカードです。","0.5%～3.0%","","2025-10-01T14:04:54.938843"
"","カード名: 税理士MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～7.0%
                    特徴: プラチナならではのコンシェルジュサービス、「プライオリティ・パス」が無料、プラチナ会員限定のサービス","","22,000円","Platinum","税理士MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","東京税理士共同組合の会員向けのアメックスプラチナカードです。","0.5%～7.0%","","2025-10-01T14:04:54.939807"
"","カード名: 早稲田Alumni MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～7.0%
                    特徴: 早稲田大学のオリジナルサービス、補償額最高1億円の海外旅行傷害保険を付帯、空港ラウンジサービス","","22,000円","Platinum","早稲田Alumni MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","早稲田と提携した最高1億円の補償付きのプラチナカードです。","0.5%～7.0%","","2025-10-01T14:04:54.940731"
"","カード名: 法人決済用ラグジュアリーカードMastercard(R) Black Card
                    年会費: 110,000円
                    ポイント還元率: 1.25%～7.15%
                    特徴: 高い気品とデザイン性を備えたマットブラック、納税でもポイントが貯まる、キャッシュバック還元率1.25％のポイントプログラム、24時間365日対応可能な一流コンシェルジュサービス","","110,000円","Platinum","法人決済用ラグジュアリーカードMastercard(R) Black Card","","ビジネスシーンに役立つサービスが充実、マスターカード最上位ランクのカードです。","1.25%～7.15%","","2025-10-01T14:04:54.941643"
"","カード名: 三井住友銀聯プラチナカード
                    年会費: 無料
                    ポイント還元率: 0.5%
                    特徴: Vポイントが貯まる、銀聯コールセンターの利用が可能、年会費・発行手数料は無料","","無料","Platinum","三井住友銀聯プラチナカード","","三井住友カードのプラチナ会員が持てる銀聯ブランドのカードです。","0.5%","","2025-10-01T14:04:54.942599"
"","カード名: セゾンプラチナ・ビジネス プロ・アメリカン・エキスプレス(R)・カード
                    年会費: 27,500円
                    ポイント還元率: 1.0%
                    特徴: 選べる機能で経営をサポート、カード毎に限度額が設定できWEB明細で確認が可能、追加カードにも海外旅行傷害保険が最高1億円まで付帯","","27,500円","Platinum","セゾンプラチナ・ビジネス プロ・アメリカン・エキスプレス(R)・カード","","2つの選べる機能でビジネスサポートが受けられるセゾンプラチナカードです。","1.0%","","2025-10-01T14:04:54.943502"
"","カード名: 慶應 MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～7.0%
                    特徴: 慶應義塾ならではの特典、最高1億円の海外旅行傷害保険、プラチナ会員の優待サービス","","22,000円","Platinum","慶應 MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","慶應義塾とMUFGカードのプラチナ特典が受けられるカードです。","0.5%～7.0%","","2025-10-01T14:04:54.944460"
"","カード名: 東京建物ブリリア エムアイカード プラス プラチナ
                    年会費: 60,500円
                    ポイント還元率: 1.0%～10.0%
                    特徴: 最高1億円補償の旅行傷害保険が自動付帯、プラチナカード特典が満載、エムアイポイントが貯まる","","60,500円","Platinum","東京建物ブリリア エムアイカード プラス プラチナ","","東京建物Brilliaの限定サービスやプラチナ特典が付帯したカードです。","1.0%～10.0%","","2025-10-01T14:04:54.945401"
"","カード名: 三菱UFJカード・プラチナ・ビジネス・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.4%～1.6%
                    特徴: 入会初年度は国内加盟店でのショッピング利用でポイント1.5倍、必要経費を1枚に集約、プラチナならではのコンシェルジュサービス","","22,000円","Platinum","三菱UFJカード・プラチナ・ビジネス・アメリカン・エキスプレス(R)・カード","","プラチナならではのサービス付帯。三菱UFJビジネスアメックスカードです。","0.4%～1.6%","","2025-10-01T14:04:54.946427"
"","カード名: GINZA SIXプレステージカード
                    年会費: 55,000円
                    ポイント還元率: 0.8%～1.0%
                    特徴: GINZA SIXのクレジット払いで、ふたつのポイントが貯まる、プレステージカードならではのサービスが利用できる、最高5,000万円補償の国内外旅行傷害保険が付帯","","55,000円","Platinum","GINZA SIXプレステージカード","","GINZA SIXでの利用で2つのポイントが貯まり、様々な特典が付帯したカードです。","0.8%～1.0%","","2025-10-01T14:04:54.947468"
"","カード名: JCB CARD Biz プラチナ
                    年会費: 33,000円
                    ポイント還元率: 0.45%～9.9%
                    特徴: プラチナ・コンシェルジュデスクを利用できる、年間300万円以上利用すると、翌年は70％のポイントアップ、世界中の空港ラウンジを使えるプライオリティ・パスの発行可能、対象レストランの対象コース料理を2名以上で予約すると1名分が無料になる「グルメ・ベネフィット」を利用できる、傷害治療・疾病治療が1,000万円、携行品損害も100万円の海外旅行傷害保険　※利用付帯","","33,000円","Platinum","JCB CARD Biz プラチナ","","プラチナならではのサービスやサポートが受けられる法人カードです。","0.45%～9.9%","","2025-10-01T14:04:54.948429"
"","カード名: JCB ザ・クラス（紀陽カード）
                    年会費: 55,000円
                    ポイント還元率: 0.5%～10.0%
                    特徴: 会員クラス最上級のサービスを満喫できる、有効期間5年のOki Dokiポイントが貯まる、最高1億円の国内外旅行傷害保険が利用付帯","","55,000円","Platinum","JCB ザ・クラス（紀陽カード）","","紀陽カードが発行するJCB最上位のステータスカードです。","0.5%～10.0%","","2025-10-01T14:04:54.949367"
"","カード名: JAL CLUB EST アメリカン・エキスプレス・カード プラチナ
                    年会費: 34,100円
                    ポイント還元率: 0.5%～3.0%
                    特徴: 家族特約も付帯する国内外旅行傷害保険、100円につき1マイル貯まる、プラチナ特典が充実","","34,100円","Platinum","JAL CLUB EST アメリカン・エキスプレス・カード プラチナ","","通常よりマイルが貯まる、20代限定のJALプラチナカードです。","0.5%～3.0%","","2025-10-01T14:04:54.950330"
"","カード名: 明治大学 MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～7.0%
                    特徴: 明治大学の様々な特典、コンシェルジュサービス、プラチナカードならではの特典","","22,000円","Platinum","明治大学 MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","大学施設の利用ができ、アメックスプラチナサービスが受けられるカードです。","0.5%～7.0%","","2025-10-01T14:04:54.951258"
"","カード名: スノーピークカード（プラチナカード）
                    年会費: 88,000円
                    ポイント還元率: 1.5%～2.0%
                    特徴: スノーピークポイントがVisa加盟店で1.5％貯まる、スノーピークの優待サービスが充実、オリジナルノベルティがもらえる、最高1億円補償の旅行保険が自動付帯など、プラチナならではの特典","","88,000円","Platinum","スノーピークカード（プラチナカード）","","最高1億円の旅行傷害保険が付帯した、スノーピークのプラチナカードです。","1.5%～2.0%","","2025-10-01T14:04:54.952158"
"","カード名: セディナプラチナカード
                    年会費: 33,000円
                    ポイント還元率: 0.5%～1.5%
                    特徴:","","33,000円","Platinum","セディナプラチナカード","","2024年1月25日に新規のお申し込み受付を終了したカードです。","0.5%～1.5%","","2025-10-01T14:04:54.953014"
"","カード名: スルガ・セゾンプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード
                    年会費: 33,000円（初年度無料）
                    ポイント還元率: 0.5%～1.0%
                    特徴: カード利用で永久不滅ポイントが貯まる、ビジネスで役立つサービスが付帯、海外旅行傷害保険が最高1億円付帯","","33,000円（初年度無料）","Platinum","スルガ・セゾンプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード","","スルガ銀行と提携したビジネスサポートが受けられるセゾンプラチナカードです。","0.5%～1.0%","","2025-10-01T14:04:58.945772"
"","カード名: HARLEYプラチナカード
                    年会費: 22,000円
                    ポイント還元率: 1.5%
                    特徴:","","22,000円","Platinum","HARLEYプラチナカード","","2023年12月31日に新規のお申し込み受付を終了したカードです。","1.5%","","2025-10-01T14:04:58.947277"
"","カード名: 九州VISAビジネスプラチナカード
                    年会費: 55,000円
                    ポイント還元率: 0.4%～0.48%
                    特徴: 最高1億円補償の国内外旅行傷害保険が付帯、プラチナ会員特典が充実、ワールドプレゼントポイントが1,000円ごとに1ポイント貯まる","","55,000円","Platinum","九州VISAビジネスプラチナカード","","プラチナクオリティのサービスが受けられる九州カードのビジネスカードです。","0.4%～0.48%","","2025-10-01T14:04:58.948306"
"","カード名: ザ・リッツ・カールトン大阪VISAカード（プラチナカード）
                    年会費: 55,000円
                    ポイント還元率: 0.0%～5.0%
                    特徴: ザ・リッツ・カールトン大阪でのカード利用でFDPポイントが貯まる、ザ・リッツ・カールトン大阪での優待サービス、最高1億円の海外・国内旅行傷害保険が自動付帯","","55,000円","Platinum","ザ・リッツ・カールトン大阪VISAカード（プラチナカード）","","ザ・リッツ・カールトン大阪の最高級スイートへの招待など、特典が充実したカードです。","0.0%～5.0%","","2025-10-01T14:04:58.949266"
"","カード名: 京都ビジネスカード for Owners プラチナカード
                    年会費: 55,000円
                    ポイント還元率: 1.0%～7.0%
                    特徴: プラチナ会員特典が充実、最高1億円補償の海外・国内旅行傷害保険が自動付帯、Vポイントが貯まる","","55,000円","Platinum","京都ビジネスカード for Owners プラチナカード","","プラチナならではの特典が付帯、京都クレジットサービス提携のビジネスカードです。","1.0%～7.0%","","2025-10-01T14:04:58.950209"
"","カード名: レクサス東京 エムアイカード プラス プラチナ
                    年会費: 60,500円
                    ポイント還元率: 1.0%～10.0%
                    特徴:","","60,500円","Platinum","レクサス東京 エムアイカード プラス プラチナ","","新規のお申し込み受付を終了したカードです。","1.0%～10.0%","","2025-10-01T14:04:58.951085"
"","カード名: DENTIST'S CARD PLATINUM（BUSINESS）
                    年会費: 55,000円
                    ポイント還元率: 0.54%～1.08%
                    特徴: 最高補償額1億円の海外・国内旅行傷害保険、1,300カ所以上の空港ラウンジが利用できる、プラチナランクのサービス「Taste of Premium」","","55,000円","Platinum","DENTIST'S CARD PLATINUM（BUSINESS）","","プラチナのサービスが付帯した、大阪府歯科医師協同組合と提携したカードです。","0.54%～1.08%","","2025-10-01T14:04:58.951947"
"","カード名: 東和カード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%
                    特徴: プライオリティ・パスなどのプラチナ特典が満載、5つの保険で充実の補償サービス、グローバルポイントが海外で2倍貯まる","","22,000円","Platinum","東和カード・プラチナ・アメリカン・エキスプレス(R)・カード","","世界レベルのホスピタリティが約束された、東和カード発行のプラチナカードです。","0.5%","","2025-10-01T14:04:58.952825"
"","カード名: ヒルトン・オナーズVISAプラチナカード
                    年会費: 67,500円
                    ポイント還元率: 0.25%
                    特徴:","","67,500円","Platinum","ヒルトン・オナーズVISAプラチナカード","","2020年6月30日に新規のお申し込み受付を終了したカードです。","0.25%","","2025-10-01T14:04:58.953668"
"","カード名: 法人決済用ラグジュアリーカードMastercard(R) Titanium Card
                    年会費: 55,000円
                    ポイント還元率: 1.0%～6.6%
                    特徴: 各種納税でもショッピングと同等のポイント還元、スタイリッシュでモダンな金属製カード、ビジネスシーンで役立つコンシェルジュサービス","","55,000円","Platinum","法人決済用ラグジュアリーカードMastercard(R) Titanium Card","","法人決済用のMastercard(R)最上位ステータスのカードです。","1.0%～6.6%","","2025-10-01T14:04:58.954542"
"","カード名: 北陸JCBプラチナ法人カード
                    年会費: 33,000円
                    ポイント還元率: 0.45%～0.99%
                    特徴: 最高1億円の海外・国内旅行傷害保険が付帯、プラチナカードならではのプレミアムサービス、Oki Dokiポイントが貯まる","","33,000円","Platinum","北陸JCBプラチナ法人カード","","JCBプレミアムサービスが利用できる北陸銀行提携の法人向けプラチナカードです。","0.45%～0.99%","","2025-10-01T14:04:58.955471"
"","カード名: とちぎんカード・プラチナ・アメリカン・エキスプレス(R)・カード ビジネス
                    年会費: 22,000円
                    ポイント還元率: 0.4%～1.6%
                    特徴: プラチナ会員の豊富なサービスを利用できる、経費管理の効率化を実現できる、5つのプロテクションで充実の補償サービス","","22,000円","Platinum","とちぎんカード・プラチナ・アメリカン・エキスプレス(R)・カード ビジネス","","アメックスのプラチナ会員特典が充実した、とちぎん発行のビジネスカードです。","0.4%～1.6%","","2025-10-01T14:04:58.956359"
"","カード名: JCB法人プラチナカード（紀陽カード）
                    年会費: 33,000円
                    ポイント還元率: 0.45%～9.9%
                    特徴: 充実したプラチナ会員特典、国内外の出張・移動に最高1億円の保険補償が付帯、カード利用額の充当などに使えるOki Dokiポイントが貯まる","","33,000円","Platinum","JCB法人プラチナカード（紀陽カード）","","充実のプラチナ特典が付帯した、法人向け紀陽カードです。","0.45%～9.9%","","2025-10-01T14:04:58.957289"
"","カード名: GDO MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 26,400円
                    ポイント還元率: 0.6%～5.0%
                    特徴: ゴルフライフを豊かにするサービス、充実したホスピタリティ、安心と充実の保険が付帯","","26,400円","Platinum","GDO MUFGカード・プラチナ・アメリカン・エキスプレス(R)・カード","","ゴルフダイジェスト・オンラインとニコス提携のプラチナカードです。","0.6%～5.0%","","2025-10-01T14:04:58.958304"
"","カード名: 但馬銀行ビジネスカード for Owners プラチナカード
                    年会費: 55,000円
                    ポイント還元率: 1.0%～7.0%
                    特徴: 最高1億円補償の海外・国内旅行傷害保険、Vポイントが貯まる、プラチナカードならではの特典が満載","","55,000円","Platinum","但馬銀行ビジネスカード for Owners プラチナカード","","プラチナランクの特典が充実した但馬銀行提携の法人カードです。","1.0%～7.0%","","2025-10-01T14:04:58.959185"
"","カード名: へきしんセゾンプラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 33,000円
                    ポイント還元率: 0.75%～1.0%
                    特徴: SAISON MILE CLUBに登録可能、永久不滅ポイントが国内1.5倍・海外2倍、国内・海外空港ラウンジサービス","","33,000円","Platinum","へきしんセゾンプラチナ・アメリカン・エキスプレス(R)・カード","","へきしん独自の特典も受けられる、碧海信用金庫提携のプラチナカードです。","0.75%～1.0%","","2025-10-01T14:04:58.960093"
"","カード名: 北陸Visaビジネスプラチナカード
                    年会費: 55,000円
                    ポイント還元率: 0.8%～0.97%
                    特徴: プラチナカード特典が利用できる、経費の支払いでもポイントが貯まる、Amazonビジネスが利用できる","","55,000円","Platinum","北陸Visaビジネスプラチナカード","","クオリティの高いサービスが受けられる北陸銀行提携のプラチナカードです。","0.8%～0.97%","","2025-10-01T14:04:58.961010"
"","カード名: スルガJCBプラチナカード
                    年会費: 27,500円
                    ポイント還元率: 0.5%～10.0%
                    特徴: プラチナ会員ならではのサービス「JCB Platinum」を利用できる、利用付帯の国内外旅行傷害保険、最高補償額は1億円、利用額に応じてポイント率がアップするOki Dokiポイントが貯まる","","27,500円","Platinum","スルガJCBプラチナカード","","最高1億円補償の旅行傷害保険付帯、スルガ銀行グループのプラチナカードです。","0.5%～10.0%","","2025-10-01T14:04:58.961990"
"","カード名: VISA法人プラチナカード（紀陽カード）
                    年会費: 55,000円
                    ポイント還元率: 0.4%～0.48%
                    特徴: 最高補償額1億円の旅行傷害保険が自動付帯、プラチナ会員の特典が満載、ワールドプレゼントのポイントが貯まる","","55,000円","Platinum","VISA法人プラチナカード（紀陽カード）","","プラチナ会員特典が利用できる、紀陽カード発行の法人カードです。","0.4%～0.48%","","2025-10-01T14:04:58.962954"
"","カード名: JCBプラチナ法人カード（みなとカード）
                    年会費: 33,000円
                    ポイント還元率: 0.45%～9.9%
                    特徴:","","33,000円","Platinum","JCBプラチナ法人カード（みなとカード）","","2025年3月31日に新規のお申し込み受付を終了したカードです。","0.45%～9.9%","","2025-10-01T14:04:58.963749"
"","カード名: GINZA SIX カード プレステージ
                    年会費: 55,000円
                    ポイント還元率: 1.0%～3.0%
                    特徴:","","55,000円","Platinum","GINZA SIX カード プレステージ","","新規のお申し込み受付を終了したカードです。","1.0%～3.0%","","2025-10-01T14:05:01.411598"
"","カード名: 伊予銀行ビジネスカード for Owners（プラチナカード）
                    年会費: 55,000円
                    ポイント還元率: 1.0%～7.0%
                    特徴: 最高1億円の海外・国内旅行傷害保険が自動付帯、プラチナならではの上質なサービス、カードの利用でVポイントが貯まる","","55,000円","Platinum","伊予銀行ビジネスカード for Owners（プラチナカード）","","旅行傷害保険は最高1億円、伊予銀行提携のプラチナビジネスカードです。","1.0%～7.0%","","2025-10-01T14:05:01.412945"
"","カード名: へきしんセゾンプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード
                    年会費: 33,000円（初年度無料）
                    ポイント還元率: 0.5%～1.0%
                    特徴: 業務効率化・経費削減に役立つ法人向けサービス、SAISON MILE CLUBでJALマイルが貯まる、貯まった永久不滅ポイントを活用し、経費削減が可能","","33,000円（初年度無料）","Platinum","へきしんセゾンプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード","","ビジネスサポートが充実した、碧海信用金庫提携のプラチナカードです。","0.5%～1.0%","","2025-10-01T14:05:01.413945"
"","カード名: スルガ・セゾンプラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 33,000円
                    ポイント還元率: 0.75%
                    特徴: 永久不滅ポイントが貯まる、海外旅行傷害保険が最高1億円付帯、プラチナのサービスが利用可能","","33,000円","Platinum","スルガ・セゾンプラチナ・アメリカン・エキスプレス(R)・カード","","特定優待加盟店でポイントが2倍になるスルガ銀行提携のプラチナカードです。","0.75%","","2025-10-01T14:05:01.414856"
"","カード名: 北陸Visaプラチナカード
                    年会費: 55,000円
                    ポイント還元率: 1.0%～1.5%
                    特徴: 最高1億円の旅行傷害保険が付帯、空港ラウンジなどのプラチナカード特典が利用できる、ワールドプレゼントポイントの有効期限が4年間","","55,000円","Platinum","北陸Visaプラチナカード","","Visaのプラチナサービスが利用できる北陸銀行提携のプラチナカードです。","1.0%～1.5%","","2025-10-01T14:05:01.415915"
"","カード名: JCB法人カードプラチナ（とちぎんカード）
                    年会費: 33,000円
                    ポイント還元率: 0.45%～0.99%
                    特徴: 家族特約が付いた旅行傷害保険、プラチナクラスならではの特別なサービスが豊富、Oki Dokiポイントが貯まる","","33,000円","Platinum","JCB法人カードプラチナ（とちぎんカード）","","最高1億円の旅行傷害保険などプラチナ特典が付いたとちぎんの法人カードです。","0.45%～0.99%","","2025-10-01T14:05:01.417012"
"","カード名: だいしプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.4%～0.8%
                    特徴: いざという時に頼れる保険サービス、ビジネスシーンで活用、プラチナ会員特典、経費支払いでポイントが貯まる","","22,000円","Platinum","だいしプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード","","世界で活用できるプラチナ特典が付帯した、だいしディーシーのカードです。","0.4%～0.8%","","2025-10-01T14:05:01.417964"
"","カード名: 清水JCBプラチナ法人カード
                    年会費: 33,000円
                    ポイント還元率: 0.45%～9.9%
                    特徴: 最高1億円の海外・国内旅行傷害保険に加え、カーアクシデントも補償、世界約140の国の空港ラウンジが利用可能、Oki Dokiポイントが貯まる","","33,000円","Platinum","清水JCBプラチナ法人カード","","清水銀行にて申込みできるJCBプラチナサービス付き法人カードです。","0.45%～9.9%","","2025-10-01T14:05:01.418984"
"","カード名: Medical Owner'sカード（JCB）プラチナ法人カード
                    年会費: 33,000円
                    ポイント還元率: 0.45%～0.99%
                    特徴: ハイクオリティなプラチナカードのサービスを利用できる、家族特約が利用付帯する海外・国内旅行傷害保険、歯愛メディカルの利用でOki Dokiポイントが2倍貯まる","","33,000円","Platinum","Medical Owner'sカード（JCB）プラチナ法人カード","","歯愛メディカルでポイント2倍、プラチナならではの特典が付いた法人カードです。","0.45%～0.99%","","2025-10-01T14:05:01.419959"
"","カード名: JCBプラチナ法人カード（鹿児島カード）
                    年会費: 33,000円
                    ポイント還元率: 0.45%～0.99%
                    特徴: プライオリティ・パスを利用できる、各種サービスの予約や相談に24時間年中無休で対応、業務効率化と経費削減が可能","","33,000円","Platinum","JCBプラチナ法人カード（鹿児島カード）","","数多くのサービスが付帯された鹿児島銀行提携のプラチナ法人カードです。","0.45%～0.99%","","2025-10-01T14:05:01.420955"
"","カード名: とちぎんカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～1.0%
                    特徴: 快適に旅行を満喫できるサービスが充実、月間の利用金額に応じてポイント優遇、付帯保険が充実","","22,000円","Platinum","とちぎんカード・プラチナ・アメリカン・エキスプレス(R)・カード","","国内外でワンランク上のサービスが利用できる、とちぎん発行のプラチナカードです。","0.5%～1.0%","","2025-10-01T14:05:01.421946"
"","カード名: JCBプラチナ法人カード（静銀カード）
                    年会費: 33,000円
                    ポイント還元率: 0.45%～9.9%
                    特徴: プラチナ会員ならではの特典が充実、旅行傷害保険が最高1億円補償、遅延保険やショッピング保険も付帯、経費等の支払いでOki Dokiポイントが貯まる","","33,000円","Platinum","JCBプラチナ法人カード（静銀カード）","","プラチナ会員の特典が充実した、静銀カードのプラチナ法人カードです。","0.45%～9.9%","","2025-10-01T14:05:01.422801"
